conf_name,market,school_city,first_name,last_name,birthplace_city,birthplace_state,birthplace_country,FGM,Steals,Three_PTM,FTM,Blocks,Offensive_Reb,Assists,Defensive_Reb,Fouls,FT_Miss,FG_Miss,Turnovers,Minutes,team_games_played_2017,games_played_on_team,attendance,avg_mins_per_game
American Athletic,UCF,"Orlando, FL, USA",A.J.,DAVIS,Atlanta,GA, USA,119,29,30,111,12,60,67,175,65,50,154,65,1023,32,31,0.97,31.97
Western Athletic,New Mexico State,"Las Cruces, NM, USA",A.J.,HARRIS,Dayton,OH, USA,120,30,37,32,10,14,97,49,66,26,179,53,912,34,33,0.97,26.82
Summit League,North Dakota State,"Fargo, ND, USA",A.J.,JACOBSON,Fargo,ND, USA,97,13,55,54,11,10,51,120,60,6,105,27,826,32,32,1,25.81
Conference USA,North Texas,"Denton, TX, USA",A.J.,LAWSON,Bryan,TX, USA,130,29,12,66,12,47,78,133,109,53,183,74,935,38,37,0.97,24.61
Southwestern Athletic,Alcorn State,"Lorman, MS, USA",A.J.,MOSBY,Cartersville,GA, USA,178,46,58,71,4,14,124,136,52,11,176,64,1030,32,32,1,32.19
Mid Eastern Athletic,North Carolina A&T,"Greensboro, NC, USA",AAREN,EDMEAD,Deer Park,NY, USA,92,22,38,77,0,11,91,50,44,16,157,64,748,35,31,0.89,21.37
Southland,Stephen F. Austin,"Nacogdoches, TX, USA",AARON,AUGUSTIN,Suwanee,GA, USA,43,51,18,34,3,8,112,61,74,20,64,54,794,35,34,0.97,22.69
Horizon,IUPUI,"Indianapolis, IN, USA",AARON,BRENNAN,Noblesville,IN, USA,140,31,29,63,19,38,48,97,70,16,162,53,818,30,30,1,27.27
America East,Maine,"Bangor, ME, USA",AARON,CALIXTE,Stoughton,MA, USA,187,28,61,107,4,16,102,85,69,12,206,121,1062,32,32,1,33.19
Missouri Valley,Southern Illinois,"Carbondale, IL, USA",AARON,COOK,St. Louis,MO, USA,108,47,38,71,9,7,90,69,49,31,138,74,989,33,33,1,29.97
Southeastern,LSU,"Baton Rouge, LA, USA",AARON,EPPS,Ball,LA, USA,115,13,35,39,29,60,13,117,74,12,105,24,765,33,32,0.97,23.18
Atlantic 10,Saint Louis,"St. Louis, MO, USA",AARON,HINES,St. Louis,MO, USA,69,26,32,32,1,3,53,49,51,18,147,47,747,33,33,1,22.64
Pacific 12,UCLA,"Los Angeles, CA, USA",AARON,HOLIDAY,Chatsworth,CA, USA,212,42,88,159,8,17,192,104,90,33,248,125,1244,33,33,1,37.7
Big Ten,Illinois,"Champaign, IL, USA",AARON,JORDAN,Plainfield,IL, USA,77,27,44,54,7,42,23,57,63,10,88,30,644,32,32,1,20.13
Western Athletic,Seattle,"Seattle, WA, USA",AARON,MENZIES,Manchester,, GBR,151,9,0,83,79,118,19,184,91,45,97,41,915,34,34,1,26.91
Big East,Butler,"Indianapolis, IN, USA",AARON,THOMPSON,Glenn Dale,MD, USA,53,39,2,41,13,6,118,42,103,35,81,58,845,35,35,1,24.14
Atlantic Coast,Georgia Tech,"Atlanta, GA, USA",ABDOULAYE,GUEYE,Dakar,, SEN,71,20,2,38,33,54,33,83,80,25,81,44,672,32,31,0.97,21
Southeastern,Mississippi State,"Starkville, MS, USA",ABDUL,ADO,Chattanooga,TN, USA,112,28,0,58,65,103,13,128,90,55,70,71,953,37,36,0.97,25.76
Atlantic Sun,N.J.I.T.,"Newark, NJ, USA",ABDUL,LEWIS,Newark,NJ, USA,120,10,10,88,24,89,56,157,83,46,116,85,813,30,28,0.93,27.1
Metro Atlantic Athletic,Quinnipiac,"Hamden, CT, USA",ABDULAI,BUNDU,Upper Marlboro,MD, USA,61,10,0,48,20,75,14,116,54,24,50,34,672,33,33,1,20.36
Northeast,Bryant University,"Smithfield, RI, USA",ADAM,GRANT,Norfolk,VA, USA,148,28,65,59,1,23,68,65,50,25,244,67,997,31,27,0.87,32.16
Big South,Winthrop,"Rock Hill, SC, USA",ADAM,PICKETT,Staunton,VA, USA,105,27,23,55,12,16,57,76,64,22,87,67,651,31,31,1,21
Summit League,Denver,"Denver, CO, USA",ADE,MURKEY,Minneapolis,MN, USA,86,21,1,52,13,44,82,83,51,29,116,72,744,30,30,1,24.8
Southeastern,Tennessee,"Knoxville, TN, USA",ADMIRAL,SCHOFIELD,Zion,IL, USA,177,34,64,68,15,56,52,168,100,22,219,63,982,35,35,1,28.06
